text,label
"Software engineer with 4 years of experience in Python, Django, and PostgreSQL. Built REST APIs and deployed cloud services on AWS.",cv
"Data analyst with strong SQL, Excel, and Power BI skills. Created dashboards for retail and e-commerce performance tracking.",cv
"Machine learning engineer experienced in PyTorch, NLP, Docker, and model deployment for customer support automation.",cv
"Project manager with MBA and 8 years of experience leading cross-functional teams in banking and telecom programs.",cv
"Frontend developer skilled in React, JavaScript, TypeScript, and responsive user interface design for SaaS products.",cv
"Backend developer with expertise in Java, Spring Boot, MySQL, and microservice architecture for logistics systems.",cv
"Cybersecurity analyst with experience in SIEM monitoring, incident response, vulnerability assessment, and network hardening.",cv
"DevOps engineer with 6 years of experience in Kubernetes, Docker, CI/CD, Linux administration, and infrastructure automation.",cv
"Business analyst with experience in requirements gathering, BPMN modeling, stakeholder interviews, and digital transformation projects.",cv
"Mobile developer with Android and Flutter experience. Built cross-platform applications for education and healthcare services.",cv
"Financial analyst with CFA level preparation and 5 years of experience in forecasting, budgeting, and investment reporting.",cv
"HR specialist experienced in recruitment, onboarding, payroll coordination, and employee engagement initiatives.",cv
"UI UX designer skilled in Figma, prototyping, wireframing, design systems, and usability testing.",cv
"Cloud architect with experience designing secure Azure and AWS solutions for enterprise migration projects.",cv
"Database administrator with 10 years of experience in SQL Server, Oracle, backup strategies, and performance tuning.",cv
"Quality assurance engineer experienced in manual testing, Selenium automation, API validation, and regression planning.",cv
"Research assistant with a master's degree in artificial intelligence and publications in machine learning conferences.",cv
"Digital marketing manager with expertise in SEO, Google Ads, content strategy, and campaign performance measurement.",cv
"Systems engineer with experience in Linux servers, VMware virtualization, monitoring, and disaster recovery planning.",cv
"Product owner skilled in agile delivery, backlog prioritization, user story writing, and stakeholder alignment.",cv
"Civil engineer with project planning experience, AutoCAD knowledge, and construction site coordination for infrastructure works.",cv
"Electrical engineer experienced in PLC programming, industrial maintenance, and energy efficiency optimization.",cv
"Teacher with 7 years of experience in mathematics instruction, curriculum planning, and classroom technology integration.",cv
"Procurement specialist with experience in vendor negotiation, purchase orders, contract review, and supply chain coordination.",cv
"Full-stack developer skilled in Node.js, Express, MongoDB, React, and payment system integration.",cv
"Data scientist with experience in Python, scikit-learn, feature engineering, and predictive analytics for customer churn.",cv
"Operations manager with a strong background in process optimization, KPI tracking, and team supervision.",cv
"Graphic designer skilled in Adobe Illustrator, Photoshop, branding, and social media visual content creation.",cv
"Network engineer with CCNA-level skills in routing, switching, firewall configuration, and VPN deployment.",cv
"Accountant with experience in reconciliation, tax filing support, general ledger management, and audit preparation.",cv
"Biomedical engineer with research experience in signal processing, sensor integration, and healthcare device evaluation.",cv
"Legal assistant skilled in document drafting, compliance tracking, contract filing, and case coordination.",cv
"Content writer experienced in technical writing, copy editing, blog publishing, and editorial planning.",cv
"Mechanical engineer with CAD design experience, manufacturing process knowledge, and maintenance planning skills.",cv
"Sales manager with 9 years of experience in B2B account management, pipeline forecasting, and client retention.",cv
"IT support specialist experienced in troubleshooting Windows systems, ticket management, hardware setup, and user training.",cv
"Statistician with experience in R, SPSS, experimental design, and survey data analysis.",cv
"Customer success manager skilled in onboarding, product adoption, churn reduction, and client relationship management.",cv
"Supply chain analyst with expertise in inventory planning, ERP reporting, vendor coordination, and demand forecasting.",cv
"Healthcare administrator with experience in scheduling, medical records coordination, and patient service workflows.",cv
"Software developer with experience in C#, .NET, SQL Server, and desktop application maintenance.",cv
"NLP engineer specializing in text classification, transformers, prompt design, and multilingual language processing.",cv
"Junior data analyst with internship experience in Excel reporting, SQL queries, and sales trend analysis.",cv
"Senior Python developer with expertise in FastAPI, asynchronous programming, and automated testing.",cv
"Embedded systems engineer experienced in C programming, microcontrollers, IoT sensors, and serial communication.",cv
"Operations analyst with a strong background in process documentation, metric analysis, and continuous improvement.",cv
"E-commerce specialist experienced in catalog management, conversion tracking, and digital merchandising.",cv
"Business development representative with strong lead generation, CRM usage, and client communication skills.",cv
"Economics graduate skilled in research, statistical analysis, and policy report writing.",cv
"Marketing analyst with experience in campaign analytics, customer segmentation, and dashboard reporting.",cv
"Site reliability engineer skilled in observability, incident response, Terraform, and service availability management.",cv
"Administrative assistant with excellent organization, scheduling, document preparation, and office coordination skills.",cv
